Product Link,Image URL,Product Name,Product Price,Rating,Number of Ratings,Specifications
https://www.daraz.com.np/products/lenovo-ideapad-1-celeron-n4020-8gb-ram-256gb-ssd-14-i128067990.html,https://img.drz.lazcdn.com/static/np/p/38ec5021adf650d6449dc698abcc2e86.jpg_720x720q80.jpg_.webp,Lenovo Ideapad 1 | Celeron N4020 | 8GB RAM | 256GB SSD | 14″,"Rs. 35,999",4.0,1 Ratings,Brand: No Brand; SKU: 128067990_NP-1035134802; Ram Memory: 8GB; Operating System: Windows; Generation: ; CPU Cores: 
https://www.daraz.com.np/products/asus-vivobook-15-x1504va-core-i5-1335u-13th-gen-8-gb-ram-512-gb-ssd156-fhd-backlit-keyboard-fp-reader-win-11-2-years-warranty-i144257249.html,https://img.drz.lazcdn.com/static/np/p/c975ad3e0d5ee065328e48f81251322b.png_720x720q80.png_.webp,"Asus Vivobook 15 X1504VA Core i5- 1335U 13th Gen / 8 GB RAM/ 512 GB SSD/15.6"" FHD / Backlit Keyboard/ FP Reader/ Win 11/ 2 Years Warranty","Rs. 90,990",5.0,1 Ratings,Brand: No Brand; SKU: 144257249_NP-1089707689; Ram Memory: 8GB; Operating System: Windows; Generation: 13th; CPU Cores: Dodeca Core; Storage Capacity: 512GB; Display Size: 15.6 Inch; Processor: 
https://www.daraz.com.np/products/lenovo-loq-15-amd-ryzen-7-7435hs-rtx-4060-8gb-graphics-16gb-ddr5-ram-512gb-nvme-ssd-156-fhd-144hz-display-backlit-keyboard-windows-11-home-i146182078.html,https://img.drz.lazcdn.com/static/np/p/729dcf4fd6c5a3d5ae0ddb6935d5c47a.jpg_720x720q80.jpg_.webp,Lenovo LOQ 15 AMD Ryzen 7 7435HS RTX 4060 8GB Graphics – 16GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD 144Hz Display – Backlit Keyboard – Windows 11 Home,"Rs. 149,999",5.0,1 Ratings,
https://www.daraz.com.np/products/acer-predator-helios-300-i7-11th-gen-rtx-3060-16gb-ram-1tb-ssd-156-qhd-165hz-display-i128486228.html,https://img.drz.lazcdn.com/static/np/p/b12e31f4b4dee3d765fd2150ba3f25e0.jpg_720x720q80.jpg_.webp,"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display","Rs. 149,490",5.0,1 Ratings,Brand: No Brand; SKU: 128486228_NP-1035975940; Display Size: 15.6 Inch; Processor: Intel Core i7; Operating System: Windows; Generation: 11th
https://www.daraz.com.np/products/hp-laptop-14-13th-gen-intel-core-i3-1315u-14-inch-fhd-8gb-ddr4-512gb-ssdintel-uhd-graphics-i163584515.html,https://img.drz.lazcdn.com/static/np/p/588a5bb899827fef885ebbd6de768191.jpg_720x720q80.jpg_.webp,"HP Laptop 14 (13th Gen Intel Core i3-1315U ,14-inch FHD, 8GB DDR4, 512GB SSD,Intel UHD Graphics)","Rs. 57,500",0,No Ratings,Brand: No Brand; SKU: 163584515_NP-1160199939; Storage Capacity: 512GB; Ram Memory: 8GB; Display Size: 14 Inch; Operating System: Windows
https://www.daraz.com.np/products/dell-latitude-e7490-laptop-i7-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-i123539511.html,https://img.drz.lazcdn.com/g/kf/Sfc0311650837435a862af09eabdf107da.jpg_720x720q80.jpg_.webp,Dell Latitude E7490 Laptop I7-8th Gen 256 GB SSD 8 GB RAM Ultrabook,"Rs. 55,000",3.7,2 Ratings,Brand: No Brand; SKU: 123539511_NP-1047430421; Display Size: 13.3 Inch; Operating System: Windows 10; CPU Cores: Dual Core; Ram Memory: 8GB; Storage Capacity: 256GB; Processor: Intel Core i7; Generation: 8th
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i135830908.html,https://img.drz.lazcdn.com/static/np/p/4231fe2b947981d380e7a257173705d9.jpg_720x720q80.jpg_.webp,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop","Rs. 54,999",0,No Ratings,Brand: No Brand; SKU: 135830908_NP-1060964659; Ram Memory: 16GB; Operating System: Windows; Generation: 12th; CPU Cores: Hexa Core; Storage Capacity: 512GB; Display Size: 15.6 Inch; Processor: Intel Core i3
https://www.daraz.com.np/products/lenovo-ideapad-1-intel-celeron-processor-4-gb-ram-128-gb-ssd-14-inch-display-ote-i120789072.html,https://img.drz.lazcdn.com/static/np/p/89176848121e78a00f9abd454cde311c.jpg_720x720q80.jpg_.webp,Lenovo Ideapad 1 Intel Celeron Processor 4 GB RAM 128 GB SSD 14 inch Display - OTE,"Rs. 36,000",5.0,1 Ratings,Brand: Lenovo; SKU: 120789072_NP-1032930490; Ram Memory: 4GB; Operating System: Windows; Generation: 11th; CPU Cores: Dual Core; Storage Capacity: 128GB; Touch: No; Storage Type: SSD; Display Size: 14 Inch; Wireless Connectivity: WIFI + Bluetooth; Processor: Intel; Model No.: IP1
https://www.daraz.com.np/products/hp-14-intel-core-i3-13th-gen-8gb-ram-256gb-ssd-14-hd-screen-windows-11-home-moonlight-blue-laptop-i158705092.html,https://img.drz.lazcdn.com/static/np/p/7f4dcfb3f43e5d9551254a4416516f09.png_720x720q80.png_.webp,Hp 14 Intel Core i3 13th Gen | 8GB RAM |256GB SSD |14″ HD Screen | Windows 11 Home (Moonlight Blue) Laptop,"Rs. 51,990",0,No Ratings,Brand: ; SKU: 
https://www.daraz.com.np/products/dell-vostro-3530-intel-core-i5-13th-gen-1334u-16gb-ddr4-ram-512gb-nvme-ssd-intel-iris-xe-integrated-graphics-156-fhd-display-black-i154429078.html,https://img.drz.lazcdn.com/static/np/p/e003acaebeb1a178e1144e6aa5618833.jpg_720x720q80.jpg_.webp,Dell Vostro 3530 Intel Core i5 13th Gen 1334U – 16GB DDR4 RAM – 512GB NVMe SSD – Intel Iris Xe Integrated Graphics – 15.6” FHD Display – Black,"Rs. 75,999",0,No Ratings,
https://www.daraz.com.np/products/acer-swift-3-laptop-ryzen-7-5700u8gb512-gb14-fhdbacklit-keyboardwin-10-i110946950.html,https://img.drz.lazcdn.com/static/np/p/512e4be435597690ff602dc1936de2b9.jpg_720x720q80.jpg_.webp,"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10","Rs. 105,000",5.0,3 Ratings,Brand: No Brand; SKU: 110946950_NP-1030070955; Ram Memory: 8GB; Operating System: Windows; Generation: 11th; CPU Cores: Octa Core; Storage Capacity: 512GB; Display Size: 14 Inch; Processor: Ryzen 7
https://www.daraz.com.np/products/asus-zenbook-14-q407iq-laptop-ryzen-5-4500u-mx350-8gb-ram-256gb-ssd-14-fhd-display-i125215411.html,https://img.drz.lazcdn.com/static/np/p/eba2de6bb101e70fa552dd005c351edb.jpg_720x720q80.jpg_.webp,"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display","Rs. 85,000",4.7,3 Ratings,Brand: No Brand; SKU: 125215411_NP-1033995702; Ram Memory: 8GB; Operating System: Windows 10; Generation: Not Specified; CPU Cores: Hexa Core; Storage Capacity: 256GB; Display Size: 14 Inch; Processor: Ryzen 5
https://www.daraz.com.np/products/acer-aspire-lite-i3-12th-gen-8gb-ram-512gb-ss-156fhd-i129691037.html,https://img.drz.lazcdn.com/static/np/p/c72d1e0fbe10ac5ae5990edb3788db5c.png_720x720q80.png_.webp,Acer Aspire lite i3-12th Gen 8GB RAM-512GB SS-15.6FHD,"Rs. 54,897",5.0,1 Ratings,Brand: No Brand; SKU: 129691037_NP-1037561198; Ram Memory: 8GB; Operating System: Windows; Generation: 12th; CPU Cores: Not Specified; Storage Capacity: 512GB; Display Size: 14 Inch; Processor: Intel Core i3
https://www.daraz.com.np/products/dell-7390-i7-8th-gen-16gb-ram-256gb-ssd-360-touchscreen-with-backlit-keyboard-i113806447.html,https://img.drz.lazcdn.com/static/np/p/7be76ce8a3f16b7e6dd5ad4e9104268a.jpg_720x720q80.jpg_.webp,Dell 7390 i7 8th Gen 16gb RAM 256gb SSD 360 Touchscreen With Backlit Keyboard,"Rs. 83,000",4.0,1 Ratings,Brand: No Brand; SKU: 113806447_NP-1030941456; Generation: 8th; CPU Cores: Quad Core; Wireless Connectivity: WIFI + Bluetooth; Processor: Intel Core i7; Model No.: Dell 7390; Ram Memory: 16GB; Operating System: Windows 10; Storage Capacity: 256GB; Touch: Yes; Storage Type: SSD; Touch Pad: Yes; Display Size: 13.3
https://www.daraz.com.np/products/acer-aspire-5-intel-core-i5-13th-gen-8gb-ram-512gb-ssd-156fhd-i128041232.html,https://img.drz.lazcdn.com/static/np/p/f4189dbc06b7132d5858d42f0bb23d5b.jpg_720x720q80.jpg_.webp,"Acer Aspire 5 Intel Core i5 13th Gen 8GB Ram 512GB SSD 15.6""FHD","Rs. 76,997",5.0,1 Ratings,Brand: No Brand; SKU: 128041232_NP-1035103047; Storage Capacity: 512GB; Ram Memory: 8GB; Display Size: 15.6 Inch; Operating System: Windows; Processor: Intel Core i5; Generation: 13th; CPU Cores: Deca Core
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-512gb-ssd-156-120hz-fhd-black-i128524305.html,https://img.drz.lazcdn.com/static/np/p/be5ecea293e22b1679b2f5b5265b7d0f.jpg_720x720q80.jpg_.webp,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 65,999",4.0,1 Ratings,Brand: No Brand; SKU: 128524305_NP-1036053292; Display Size: 15.6 Inch; Operating System: DOS; CPU Cores: Not Specified; Ram Memory: 8GB; Storage Capacity: 512GB; Processor: Intel Core i5; Generation: 12th
https://www.daraz.com.np/products/acer-swift-go-14-ryzen-5-7530u-16-gb-ddr4-ram-512-gb-ssd14-fhd-ipsamd-radeon-gfx-backlit-keyboard-win-11-i132164384.html,https://img.drz.lazcdn.com/static/np/p/3110ecc67188a134f9327f2c3945af08.jpg_720x720q80.jpg_.webp,"Acer Swift Go 14 Ryzen 5 - 7530U / 16 GB DDR4 RAM/ 512 GB SSD/14"" FHD IPS/AMD Radeon GFX/ Backlit Keyboard/ Win 11","Rs. 89,990",5.0,1 Ratings,Brand: No Brand; SKU: 132164384_NP-1040007437; Display Size: 14 Inch; Operating System: Windows; CPU Cores: ; Ram Memory: 
https://www.daraz.com.np/products/lenovo-v15-celeron-laptop-4gb256gb-ssd156-inch-display-i117885136.html,https://img.drz.lazcdn.com/g/kf/S1f8fd4089cb74f7790cef49e42c454d6M.jpg_720x720q80.jpg_.webp,"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display","Rs. 33,999",4.7,2 Ratings,Brand: No Brand; SKU: 117885136_NP-1032319314; Storage Capacity: 256GB; Ram Memory: 4GB; Display Size: 15.6 Inch; Operating System: Windows; Processor: Intel Celeron; Generation: 9th; CPU Cores: Dual Core
https://www.daraz.com.np/products/dell-g5-15-5511-i5-11400h-8gb-256-ssd-nvidia-rtx-3050-4gb-gddr6-156-fhd-i112764063.html,https://img.drz.lazcdn.com/static/np/p/69a7b1ed48d139cd580248dde4ee6458.jpg_720x720q80.jpg_.webp,"Dell G5 15 5511 / i5-11400H / 8GB / 256 SSD / NVIDIA RTX 3050-4GB GDDR6 / 15.6"" FHD","Rs. 143,900",5.0,1 Ratings,
https://www.daraz.com.np/products/hp-envy-x360-14-i7-13th-gen-16gb-ram-1tb-ssd-14-fhd-360-touch-screen-display-i128206349.html,https://img.drz.lazcdn.com/static/np/p/5b429df891500c3c8d2a55a655945e16.jpg_720x720q80.jpg_.webp,"HP Envy x360 14 i7 13th Gen \ 16GB RAM \ 1TB SSD \ 14"" FHD 360 Touch Screen Display","Rs. 155,000",5.0,1 Ratings,Brand: No Brand; SKU: 128206349_NP-1035326458; Storage Capacity: 1TB; Ram Memory: 16GB; Display Size: 14 Inch; Operating System: Windows
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-512ssd-156-fhd-120hz-screen-i129434941.html,https://img.drz.lazcdn.com/static/np/p/c9f01fbaf626402ad6f2fe46248c26f2.jpg_720x720q80.jpg_.webp,"Dell Vostro 3520 i3 12th Gen 8GB 512ssd 15.6"" FHD 120Hz Screen","Rs. 51,490",4.0,1 Ratings,Brand: No Brand; SKU: 129434941_NP-1037443439; Display Size: 15.6 Inch; Operating System: DOS; CPU Cores: Hexa Core; Ram Memory: 8GB; Storage Capacity: 512GB; Processor: Intel Core i3; Generation: 12th
https://www.daraz.com.np/products/dell-inspiron-15-3515-amd-ryzen-3-3250u-4gb-1tb-hdd-radeon-graphics-156-fhd-i116008834.html,https://img.drz.lazcdn.com/static/np/p/4574391d04e01276b43c6a97a4309a88.jpg_720x720q80.jpg_.webp,"Dell Inspiron 15 3515 / AMD Ryzen 3 3250U / 4GB / 1TB HDD / Radeon Graphics / 15.6"" FHD","Rs. 63,900",1.0,1 Ratings,
https://www.daraz.com.np/products/hp-pavilion-x360-14-core-i5-1035g1-8gb-ram-256gb-ssd-convertible-laptop-i114689725.html,https://img.drz.lazcdn.com/static/np/p/07413497d5014da05c070b38fce70f8f.jpg_720x720q80.jpg_.webp,"HP Pavilion X360 14"" Core i5 1035G1 8GB RAM 256GB SSD Convertible Laptop","Rs. 89,999",5.0,1 Ratings,
https://www.daraz.com.np/products/dell-vostro-3510-i5-1135g7-11th-gen-8gb-ram-256-gb-ssd-intel-uhd-graphic-156-fhd-i127232634.html,https://img.drz.lazcdn.com/static/np/p/30002df414f27bad3dab6cfe33a2c398.jpg_720x720q80.jpg_.webp,Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD,"Rs. 69,998",5.0,1 Ratings,Brand: No Brand; SKU: 127232634_NP-1034496587; Storage Capacity: 256GB; Ram Memory: 8GB; Display Size: 15.6 Inch; Operating System: Windows; Generation: 11th; Processor: Intel Core i5; CPU Cores: Quad Core
https://www.daraz.com.np/products/dell-vostro-i5-11th-gen-8512-i128194710.html,https://img.drz.lazcdn.com/static/np/p/7b17c9426a3601adc8377c7ea16056f6.jpg_720x720q80.jpg_.webp,Dell Vostro i5-11th Gen 8/512,"Rs. 79,999",4.0,1 Ratings,Brand: No Brand; SKU: 128194710_NP-1035310553; Display Size: 15.6 Inch; Operating System: Windows; CPU Cores: Not Specified; Ram Memory: 8GB; Storage Capacity: 512GB; Processor: Intel Core i5; Generation: 11th
https://www.daraz.com.np/products/honor-magicbook-x14-2023-12th-gen-intel-core-i5-12450h-8gb512gb-nvme-ssd-14-inch-3556-cm-fhd-ips-anti-glare-tl-laptopwin-11backlit-keyboardfingerprint-login143kg-gray-i128169275.html,https://img.drz.lazcdn.com/static/np/p/a64dab4047d54bde747fa1a2e05d8e65.jpg_720x720q80.jpg_.webp,"HONOR MagicBook X14 (2023), 12th Gen Intel Core i5-12450H (8GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare T&L Laptop/Win 11/Backlit Keyboard/Fingerprint Login/1.43Kg), Gray","Rs. 119,000",5.0,1 Ratings,
https://www.daraz.com.np/products/hp-probook-440-g10-i5-13th-gen8gb-ram512gb-ssd14-hd-display-i128298982.html,https://img.drz.lazcdn.com/static/np/p/6126fe75744f7b158710219e00419be0.jpg_720x720q80.jpg_.webp,HP ProBook 440 G10 I5-13th Gen/8GB RAM/512GB SSD/14 HD Display,"Rs. 96,899",5.0,1 Ratings,Brand: No Brand; SKU: 128298982_NP-1035571225; Display Size: 14 Inch; Operating System: Windows; CPU Cores: Hexa Core; Ram Memory: 8GB; Storage Capacity: 512GB; Processor: Intel Core i5; Generation: 13th
